match_id,avg_elo,winner,diff_villagers_snapshot,diff_apm,diff_queues,diff_builds,diff_orders
88901385,2114,0,6,-18.45,16,0,1
96490035,1283,0,6,-24.4,5,3,-66
96409892,944,0,-8,5.85,-5,-2,55
131617292,1549,0,8,-18.55,-11,-2,15
87273432,1140,0,-16,-24.8,-28,-4,-154
105858527,1085,0,1,-1.25,1,3,-39
87803935,1564.5,0,-1,-29.25,20,-16,-115
136242454,1017,1,-17,-14.35,-22,-6,-26
120485643,1891,0,-13,0.55,-41,-5,-1
95515521,1210,1,-26,-12.1,-36,-3,17
134725680,1641,0,3,-4.95,13,5,44
74742980,925.5,1,-4,0.8,-7,2,-4
123210317,1112,1,9,-7.65,18,1,25
93878379,1037,1,17,24.45,8,10,36
71347856,1044.5,1,-1,11.6,-8,4,39
135326553,911,1,-4,-16.55,-17,-6,-10
80885931,1010,1,6,-0.55,2,-6,41
55938616,990,0,20,20.1,30,1,51
133356378,1037.5,1,-2,-8.75,2,2,0
79893973,1026.5,0,-6,-29.6,-18,-12,30
118441781,1004.5,0,-2,2.35,-7,0,41
66287940,1383,1,-2,13.1,24,-3,15
93871033,1697,0,1,-19.25,9,5,-9
134476714,1172,1,-1,-32.15,-2,9,-67
67352799,2001,1,6,-19.7,-18,13,-11
62077116,1038,1,-25,-32.4,-65,-12,-57
123390091,902,1,-2,19.9,-2,-19,75
133196267,1172,0,-8,-14.25,-11,-1,6
85829495,1102,1,6,-4.55,8,16,-2
58162506,1785.5,1,0,-15.05,-3,0,11
78550594,1092,1,-8,-14.95,-1,-2,1
61962390,933.5,1,-19,-7.4,-12,3,16
70572368,1084.5,0,14,-15.85,-3,-4,0
78601419,1337.5,1,-6,6.3,-8,-3,-15
141483036,1205,0,-2,-24.05,1,6,-96
105769420,1267,0,-4,-18.9,-1,6,-16
124031297,1206.5,0,-10,-7.2,-9,0,-14
140851293,1574,1,-2,-18.1,1,-2,-25
107112529,1208.5,0,1,-9,7,-2,-36
53678809,971.5,0,7,-0.25,-2,-2,5
90517838,1114,0,14,-3.2,17,6,20
105566464,951,1,-2,1.1,12,13,15
124205489,922,1,-3,-0.7,-18,0,8
49867530,939,0,8,-9.3,7,1,11
112931065,1343.5,0,-6,-6.25,7,1,19
112869123,982.5,0,15,-1.65,15,8,-13
134684196,1142.5,1,7,11.7,-6,8,77
87552602,1004,0,0,-4.95,-7,1,-8
53043995,1338,0,8,-3.6,16,5,42
123269737,1139.5,0,-2,-16.35,-7,-1,-18
127175540,1024.5,0,-12,-8.2,-6,-2,13
102882294,1100,0,-17,-25.45,-24,-6,-18
61269766,904.5,1,20,-5.55,21,12,6
122172730,928,0,0,-12,11,3,-16
68895946,923,1,1,-13.8,12,0,-11
74320771,1050,1,-19,-15.5,-31,-11,-29
68432244,1164,1,-6,-11.85,-7,-4,26
83926647,1860.5,0,-8,-3.55,-22,7,-27
127386829,967.5,1,-5,-31.65,-4,-13,-119
102408493,940,0,0,2.25,7,10,8
134184273,928,1,-4,-31.25,-4,-13,-51
127112006,1094,0,0,-9.75,-11,1,8
55774369,934.5,0,13,-1.7,19,-3,4
125451452,1076.5,1,5,-19.45,10,-3,-8
87002118,1153.5,0,9,-7.15,17,11,-32
102025921,1257,1,16,-27,15,2,-115
124352786,1029.5,0,-25,7.8,-27,7,5
84007287,996,1,5,2.25,12,-3,-23
65599742,2100.5,1,3,-32,-3,-20,37
80575206,1077,1,-21,-9.65,-17,-15,-21
110426358,1578,1,4,-22.8,21,4,52
83883286,1348.5,0,-3,-32.75,1,13,-10
121220811,1146.5,0,-3,5.95,0,-4,-6
114818027,1674.5,0,0,-61.25,-3,-4,-2
52425484,988,1,9,-3.75,3,-12,7
79223377,1276.5,0,-10,-14.2,-3,-4,-3
124613442,1527,1,-16,-34.4,-11,-13,10
140381987,1027.5,1,-14,-7.15,-4,-18,2
108970503,1052,1,-9,-4.4,-6,1,34
116001770,1735.5,1,3,-34.8,6,6,-38
69256102,1082,1,-12,-4,-13,2,17
66311187,1014,0,-4,-17.8,-5,4,-3
76314608,1323,0,-5,-12,1,0,-29
62664887,1090.5,0,10,-3,6,11,53
86205457,1302,1,0,-17.25,-2,-5,35
96174858,1539,1,-10,-16.4,-10,12,7
94560420,1093.5,0,-3,-1.95,-13,-4,12
65886330,1115.5,0,4,10.05,9,5,14
88844673,1248,1,-9,-16.3,-12,-5,-46
69988505,1114,0,-4,11.2,-1,7,-2
118565763,1302.5,1,4,-9.6,9,-2,-33
137134789,922.5,0,6,-1.25,18,-3,-19
84877100,937.5,1,-7,5,-7,-7,16
106609059,1522.5,1,-2,-2.85,-1,-7,33
128979666,933.5,0,-18,-23.85,-29,-4,-41
92853796,1084,1,-5,-7.7,-13,1,81
99901400,1094.5,1,-2,-22.85,-8,8,-11
94569718,997.5,1,-5,0.45,-13,7,-2
135840034,1000.5,1,-5,-4.95,-14,-4,68
79748028,989,0,-15,-2.85,-25,-13,-1
83320596,1011,0,-8,-13.35,-8,-2,2
51560706,1437,0,5,9.85,3,6,17
130190380,1342,1,8,26.35,5,4,133
80266701,1172.5,1,8,14.8,11,2,68
62793585,1075,0,9,7.7,1,1,-4
55139373,1037.5,0,-4,-2.7,-18,-22,-13
109283761,1056.5,1,22,-5.7,41,10,26
127654483,1170.5,1,1,2.3,-9,0,5
57826513,1085,1,24,5.7,16,-22,-15
116267992,1100,0,-7,13.95,-4,1,30
136841774,1815,1,0,-29.2,-1,-7,49
129098021,1113.5,0,-2,-3.3,-10,3,-4
83916727,1133,1,1,-7.6,-9,11,-31
52396881,1313,0,1,2.7,-5,12,-34
61694638,980,1,-17,-21.15,-33,-13,-51
79273895,1089.5,0,-16,-40.9,-2,-2,-13
56818081,1261.5,0,-4,-20.05,-11,-5,16
52887609,1183,1,-4,-2.35,-19,-3,-19
76771056,982,1,9,-17.1,0,17,-42
98860445,1189.5,1,3,14.35,11,4,35
104427324,1248,1,-1,-4.2,-9,-1,-14
125665507,1103.5,1,-1,17.05,1,-1,23
51525035,952.5,0,-5,2.7,-5,5,10
120438729,1721.5,0,-3,-32.4,-2,14,-2
136435804,1177,0,4,11.9,9,3,12
49874972,997.5,1,-7,-1.95,-13,-12,9
122903206,908.5,1,4,-10.6,18,7,59
73505183,1037.5,1,-21,-9.4,-34,-5,43
129135895,1138.5,1,4,-5.5,3,2,-6
94620401,1254,0,-3,-4.05,-11,-3,12
119038706,2058.5,0,-6,-11.8,-9,0,70
113356738,1923.5,1,-2,-50.9,2,-5,-73
64423063,1790.5,1,4,-10.45,8,9,-4
122091514,1026.5,0,-7,-19.25,-20,22,-33
111337733,1256.5,0,-25,-10.8,-33,-13,5
125623932,1167,1,-12,-6.55,-13,-11,-23
69094027,1592,0,4,-13,4,10,-11
85216760,1082,1,18,-4.85,18,4,-38
116622401,1148.5,0,1,-4.7,19,3,92
139770207,1142.5,0,3,8.15,3,8,-33
75051035,1033.5,1,0,-36.6,3,3,-44
101942562,1173.5,0,4,-11.8,14,10,-25
93738567,983.5,1,-5,-15.2,-18,-11,3
78570571,951,1,-5,-10.5,-6,-1,-31
130452994,1195.5,1,16,-24.05,12,2,-5
111043826,935.5,0,-2,-9.75,-12,0,12
58164630,1042.5,1,20,-3.35,29,3,-6
141330444,1035,1,16,-20.9,22,5,-35
101596236,1227,1,5,-14,-7,0,-13
105773830,1443,0,-13,-20,-9,-3,-21
59620645,1009.5,0,-4,5.85,-6,0,26
52463590,1063,0,11,-2.8,22,-4,-52
56430895,1275.5,0,-9,-30.85,-3,-10,-61
77528949,1278,1,14,5.35,8,15,53
108973634,986,0,4,-1.3,-3,1,5
81235655,1228,0,4,18.05,6,11,21
92531680,981,0,1,-0.85,-1,6,3
114861158,1328.5,1,-12,-25.85,-24,1,4
49483987,1138,1,12,-5.35,9,0,-26
80731879,1158.5,0,-28,-27.3,-33,-1,-59
91586016,1000.5,0,13,1.65,17,4,13
131754023,1179.5,1,13,-32.8,3,4,-85
91839331,1047,1,5,-23.85,-1,-14,-16
108671831,1121,1,-14,2.1,-26,-7,-16
107691562,1405,0,-6,-21,-3,-6,-9
109462168,1108.5,1,5,-2.55,2,-15,9
79456085,1140,1,14,-21.6,4,-3,-75
79234164,994,1,4,-11.1,-6,-4,8
85461978,1091.5,0,-2,7.35,-5,13,10
105170884,1146.5,0,-3,-16.55,3,19,-10
119438771,1036.5,1,-4,-25.05,16,5,-48
107554211,1177,0,0,6.9,-12,8,23
78793652,1288,0,13,2.15,18,-6,7
83920937,1407,0,1,4.75,11,-6,13
88804698,967.5,1,-6,1.25,-1,-5,48
53012281,919,1,4,-6.85,10,2,-33
78245142,1331,0,15,12.45,27,12,209
137183472,2167,0,-4,-69.35,-12,-5,-28
87894881,1464,0,11,-12.65,0,5,-33
139421830,1533.5,0,5,-8.75,0,3,-16
71708608,1023.5,0,10,8.55,7,-1,-34
108953076,1002.5,1,6,-36.6,3,-5,-19
69446188,1121,1,8,2.65,24,-15,5
71500686,1118,0,13,-2.3,-3,8,-51
74320655,962.5,0,51,-1.3,55,13,-74
57401530,1457.5,0,-3,4.85,2,4,14
51887963,1015.5,1,-6,-27.35,-20,-11,-33
66536027,1251,1,-1,-1.85,9,-5,32
117148858,1030,0,-23,-5.75,-12,-3,-14
78466416,1153,1,12,-10.2,27,11,-10
140896235,1313,0,3,-7.15,1,-11,24
99322909,1077,1,1,-9.95,0,4,-12
84589854,1105,0,16,11.35,14,4,-7
137336229,1273.5,1,7,-8.7,11,0,-5
126264891,1092.5,1,-5,-20.45,1,-2,8
136544570,903,0,-8,-28.95,-1,1,2
58854192,1214,0,13,-4.35,18,1,-10
67363986,1980,1,22,-57.75,14,0,-102
82154176,1516,1,-3,2.15,-3,4,4
117960361,1098.5,1,12,-6.55,17,13,8
67347338,1012.5,1,12,-11.35,12,-5,-20
134851174,1050.5,0,-9,-15.15,-3,6,-4
63931961,1486,1,0,-19.8,6,-11,24
